method,seed,count,correct,accuracy,avg_tokens,helpful,harmful,wrong_to_wrong,accept,think8,think12,think_rate,std_accuracy
oracle_unconstrained,17,500,323,0.646,1301.68,56,0,0,444,24,32,0.112,
oracle_unconstrained,7,500,323,0.646,1394.498,66,0,0,434,28,38,0.132,
oracle_unconstrained,23,500,319,0.638,1211.928,54,0,0,446,19,35,0.108,
oracle_unconstrained,mean,,,0.6433333333333334,1302.702,176,0,0,1324,71,105,,0.004618802153517011
oracle_match_think8k,17,500,323,0.646,1301.68,56,0,0,444,24,32,0.112,
oracle_match_think8k,7,500,323,0.646,1394.498,66,0,0,434,28,38,0.132,
oracle_match_think8k,23,500,319,0.638,1211.928,54,0,0,446,19,35,0.108,
oracle_match_think8k,mean,,,0.6433333333333334,1302.702,176,0,0,1324,71,105,,0.004618802153517011
oracle_match_gbdt50,17,500,323,0.646,1301.68,56,0,0,444,24,32,0.112,
oracle_match_gbdt50,7,500,323,0.646,1394.498,66,0,0,434,28,38,0.132,
oracle_match_gbdt50,23,500,319,0.638,1211.928,54,0,0,446,19,35,0.108,
oracle_match_gbdt50,mean,,,0.6433333333333334,1302.702,176,0,0,1324,71,105,,0.004618802153517011
oracle_match_gbdt30,17,500,323,0.646,1301.68,56,0,0,444,24,32,0.112,
oracle_match_gbdt30,7,500,323,0.646,1394.498,66,0,0,434,28,38,0.132,
oracle_match_gbdt30,23,500,319,0.638,1211.928,54,0,0,446,19,35,0.108,
oracle_match_gbdt30,mean,,,0.6433333333333334,1302.702,176,0,0,1324,71,105,,0.004618802153517011
