model,method,selection_mode,target_rate,accuracy_mean,accuracy_std,avg_total_tokens_mean,trigger_rate_mean,harmful_mean,adoption_rate_mean,helpful_mean
Qwen3-4B,gbdt,threshold_from_train,0.3,0.8946666666666667,0.010697871023920818,2856.731333333333,0.3433333333333333,0.4,0.2853333333333333,50.0
Qwen3-4B,trace_length,threshold_from_train,0.3,0.8913333333333334,0.011205157542647759,2683.518666666667,0.29733333333333334,0.0,0.242,48.6
Qwen3-4B,gbdt,threshold_from_train,0.5,0.9126666666666667,0.01115546702045436,3691.336666666667,0.5853333333333334,0.8,0.5173333333333334,55.8
Qwen3-4B,trace_length,threshold_from_train,0.5,0.9093333333333333,0.015527752931802826,3501.199333333333,0.5,0.6,0.43666666666666665,54.6
Qwen3-4B,random,topk_eval,0.3,0.78696,0.00625998757542254,1827.2277600000002,0.3,0.31,0.2779866666666667,17.598000000000003
Qwen3-4B,random,topk_eval,0.5,0.82498,0.009425750780589208,2641.0938466666666,0.5,0.484,0.46331333333333335,29.177999999999997
Qwen3-8B,gbdt,threshold_from_train,0.3,0.8966666666666667,0.008498365855987976,3059.3706666666667,0.378,0.2,0.3126666666666667,49.0
Qwen3-8B,trace_length,threshold_from_train,0.3,0.8926666666666666,0.007226494462892924,2788.519333333333,0.3,0.0,0.23666666666666666,47.6
Qwen3-8B,gbdt,threshold_from_train,0.5,0.9073333333333332,0.008944271909999158,3741.87,0.5713333333333332,0.2,0.49799999999999994,52.2
Qwen3-8B,trace_length,threshold_from_train,0.5,0.9039999999999999,0.007601169500660915,3642.813333333333,0.5006666666666667,0.2,0.42666666666666664,51.2
Qwen3-8B,random,topk_eval,0.3,0.7900866666666667,0.003661784628656728,1903.7371466666668,0.3,0.22999999999999998,0.2753466666666667,17.056
Qwen3-8B,random,topk_eval,0.5,0.8265866666666668,0.004200502615428586,2764.2791866666666,0.5,0.388,0.45844000000000007,28.163999999999998
Qwen3-14B,gbdt,threshold_from_train,0.3,0.922,0.013038404810405304,2876.503333333333,0.358,0.6,0.3046666666666667,50.4
Qwen3-14B,trace_length,threshold_from_train,0.3,0.9146666666666666,0.0073029674334022165,2657.2753333333335,0.3006666666666667,0.0,0.24933333333333332,47.6
Qwen3-14B,gbdt,threshold_from_train,0.5,0.9259999999999999,0.012780193008453854,3456.922,0.5386666666666666,1.0,0.4833333333333333,52.0
Qwen3-14B,trace_length,threshold_from_train,0.5,0.9233333333333332,0.011303883305208755,3442.5433333333335,0.5,0.6,0.44333333333333336,50.8
Qwen3-14B,random,topk_eval,0.3,0.8092066666666666,0.00397802295954498,1780.1190866666664,0.3,0.41000000000000003,0.28154,16.372
Qwen3-14B,random,topk_eval,0.5,0.8431799999999999,0.00559655648094829,2552.6278133333335,0.5,0.738,0.46974,26.892000000000003
